[2013-10-6 15:58:26 23]  ModulePath: C:\Program Files\ViewEye\Client\nvtcodec\VideoLib.DLL [file:Config.cpp line:21]
[2013-10-6 15:58:26 25]  Version: 3.13.052, Build 2013-06-13 09:44:28 [file:Config.cpp line:62]
[2013-10-6 15:58:26 25]  ConfigFile Path: C:\Program Files\ViewEye\Client\nvtcodec\DecodeConfig.ini [file:Config.cpp line:82]
[2013-10-6 15:58:26 108]  @@@@@@@@@@@@@@ CChannelManager init @@@@@@@@@@@@@@ [file:CChannelManager.cpp line:27]
[2013-10-6 15:58:26 109]  CChannelManager::enter the openVideo:1314908 [file:CChannelManager.cpp line:59]
[2013-10-6 15:58:26 109]  ------------------------------------------------------- [file:CVideoElement.cpp line:331]
[2013-10-6 15:58:26 109]  openVideo handle: 1314908 hwnd: 1314908 mode :0 mode2: 0 pType: 0 vtype: 0 [file:CVideoElement.cpp line:333]
[2013-10-6 15:58:26 109]  Sync speed:1 1 [file:SyncStrategy.cpp line:112]
[2013-10-6 15:58:26 109]  NoSyncMax: 500 [file:SyncStrategy.cpp line:284]
[2013-10-6 15:58:26 110]  @@@@@@ avcodec_alloc_context  [file:CVideoElement.cpp line:563]
[2013-10-6 15:58:26 110]  @@@@@@ avcodec_find_decoder: 28 vtype:0 [file:CVideoElement.cpp line:584]
[2013-10-6 15:58:26 111]  @@@@@@ avcodec_alloc_frame  [file:CVideoElement.cpp line:604]
[2013-10-6 15:58:26 111]  [1314908] MaxPacketLen: 700000 [file:CVideoElement.cpp line:443]
[2013-10-6 15:58:26 111]  [1314908] m_MaxFrameCount: 25 [file:CVideoElement.cpp line:456]
[2013-10-6 15:58:26 112]  [1314908] MaxBufLen: 5 [file:CVideoElement.cpp line:469]
[2013-10-6 15:58:26 112]  [1314908] MinBufLen: 5 [file:CVideoElement.cpp line:473]
[2013-10-6 15:58:26 113]  @@@@@@ m_bDecode = 1 [file:CVideoElement.cpp line:509]
[2013-10-6 15:58:26 113]  @@@@@@ m_iLanguageType = 0 [file:CVideoElement.cpp line:520]
[2013-10-6 15:58:26 114]  @@@@@@ m_bIsMedialFilter = 0 [file:CVideoElement.cpp line:531]
[2013-10-6 15:58:26 115]  @@@@@@ [1314908] openVideo ok @@@@@@ [file:CVideoElement.cpp line:543]
[2013-10-6 15:58:26 115]  @@@@@@ openVideo Count = 1 [file:CVideoElement.cpp line:545]
[2013-10-6 15:58:26 116]  ======= openAudio handle:1314908 m_audioref:0======= [file:CChannelManager.cpp line:784]
[2013-10-6 15:58:26 516]  ====== Audio m_maxLen :5000 ====== [file:CAudioElement.cpp line:79]
[2013-10-6 15:58:26 517]  ====== openAudio :1314908 ====== [file:CAudioElement.cpp line:111]
[2013-10-6 15:58:26 517]  ======= setAudioType = 5 ======= [file:CChannelManager.cpp line:1089]
[2013-10-6 15:58:26 517]  ======= playAudio ======= [file:CChannelManager.cpp line:849]
[2013-10-6 15:58:26 517]  ---- -1 playAudio ---- [file:CAudioElement.cpp line:266]
[2013-10-6 15:58:26 517]  ======= setAudio ======= [file:CChannelManager.cpp line:890]
[2013-10-6 15:58:26 517]  ======= pauseAudio ======= [file:CChannelManager.cpp line:821]
[2013-10-6 15:58:26 517]  ---- -1 pauseAudio ---- [file:CAudioElement.cpp line:248]
[2013-10-6 15:58:26 517]  ======= playAudio ======= [file:CChannelManager.cpp line:849]
[2013-10-6 15:58:26 517]  ---- -1 playAudio ---- [file:CAudioElement.cpp line:266]
[2013-10-6 15:58:26 517]  ======= setAudio ======= [file:CChannelManager.cpp line:890]
[2013-10-6 15:58:26 518]  head1============67head2==============80payloadlen======0 [file:CVideoElement.cpp line:2014]
[2013-10-6 15:58:28 621]  head1============36head2==============0payloadlen======0 [file:CVideoElement.cpp line:2014]
[2013-10-6 15:58:28 621]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 622]  ***********padding=1, srcc1=160,padding_len=3************* [file:CVideoElement.cpp line:1482]
[2013-10-6 15:58:28 622]  ======= bSetDecoder decType:AUDIO_DECODER_G711U =======  [file:CAudioElement.cpp line:619]
[2013-10-6 15:58:28 622]  ======= bSetPara m_sampleRate:8000 m_channels:1 =======  [file:CAudioElement.cpp line:549]
[2013-10-6 15:58:28 622]  ************  Audio Driver: waveout ************ [file:CAudioElement.cpp line:464]
[2013-10-6 15:58:28 971]  0***** Default play ***** [file:CAudioElement.cpp line:499]
[2013-10-6 15:58:28 971]  ***********padding=1, srcc1=160,padding_len=1************* [file:CVideoElement.cpp line:1482]
